reader_id,first_name,last_name,city,subscription_type,registration_date
39,Emma,David,CROIX,Premium,2024-07-16
40,Maya,Fournier,Tourcoing,Étudiant,2024-03-09
41,Clara,Petit,Villeneuve-d'Ascq,Famille,2024-12-31
42,Yanis,Laurent,Lambersart,Senior,2024-03-24
43,Lucas,Durand,Croix,Senior,2023-08-19
44,Alice,Vincent,Roubaix,Étudiant,2024-07-21
45,Nora,Martin,Villeneuve-d'Ascq,Famille,2023-03-14
46,Sarah,Bernard,Lille,Premium,2023-12-05
47,Nora,Leroy,Roubaix,Famille,2024-11-16
48,Tom,Robert,Wasquehal,Premium,2025-01-10
49,Nathan,Durand,Mons-en-Barœul,Famille,2025-03-14
50,Lina,Thomas,Wasquehal,Senior,2023-04-10
51,Adam,Michel,Marcq-en-Barœul ,Étudiant,2024-04-23
52,Marc,Lefebvre,LILLE,Standard,2025-01-15
53,Nora,Petit,La Madeleine,Standard,2023-07-14
54,Emma,Michel,Croix,Senior,2023-07-07
55,Nora,Dubois,Lambersart,Senior,2024-03-29
56,Marc,Roux,Croix,Standard,2023-01-16
57,Hugo,Michel,Roubaix,premium,2024-05-12
58,Anna,Lefebvre,Wasquehal,Premium,2023-03-02
59,Alice,Lefebvre,Tourcoing,Senior,2023-09-29
60,Adam,Roux,Wasquehal,Étudiant,2024-11-08
61,Lina,Moreau,Wasquehal,Premium,2023-08-11
62,Ethan,Roux,Lille,Famille,2023-03-04
63,Marc,Vincent,La Madeleine,Standard,2024-05-03
64,Hugo,Bernard,Croix,Famille,2024-06-04
65,Sarah,Fournier,ROUBAIX,Premium,2023-03-11
66,Lucas,Vincent,Villeneuve-d'Ascq,Senior,2023-09-10
67,Marc,Fournier,Mons-en-Barœul,Famille,2023-03-25
68,Zoé,Bertrand,Marcq-en-Barœul ,Famille,2023-11-20
69,Yanis,Simon,Lambersart,Premium,2023-09-02
70,Emma,Moreau,Lambersart,Senior,2024-04-13
71,Alice,Garcia,La Madeleine,Standard,2024-09-28
72,Sarah,Roux,Mons-en-Barœul,Standard,2023-08-07
73,Emma,Laurent,Croix,Étudiant,2023-03-12
74,Camille,Richard,Villeneuve-d'Ascq,Étudiant,2024-03-24
25,Noah,Durand,Mons-en-Barœul,Senior,2023-05-22
76,Eva,Thomas,Croix,étudiant,2023-05-18
77,Liam,Thomas,Lambersart,Standard,2025-01-30
78,Jules,Moreau,CROIX,Premium,2024-09-11
79,Lina,Leroy,Villeneuve-d'Ascq,Étudiant,2024-06-01
80,Liam,Bernard,Wasquehal,Étudiant,2023-04-05
81,Marc,Martin,Marcq-en-Barœul,Étudiant,2023-12-08
82,Hugo,Garcia,Tourcoing,Étudiant,2024-07-18
83,Alice,Thomas,Marcq-en-Barœul,Famille,2023-03-19
84,Marc,Laurent,Tourcoing,Famille,2024-08-19
85,Adam,Robert,Croix ,Premium,2023-02-12
86,Liam,Bernard,Lambersart,Étudiant,2024-01-02
87,Yanis,Thomas,Villeneuve-d'Ascq,Premium,2023-12-29
88,Paul,Robert,Croix,Senior,2023-08-31
89,Liam,Michel,Tourcoing,Premium,2023-01-26
90,Sofia,Michel,Tourcoing,Étudiant,2024-11-16
91,Hugo,Thomas,VILLENEUVE-D'ASCQ,Étudiant,2024-01-27
92,Nora,Petit,Lille,Senior,2024-04-16
93,Louis,Durand,La Madeleine,Étudiant,2023-08-17
94,Louise,Simon,Lille,Premium,2023-10-13
95,Noah,Bertrand,Roubaix,étudiant,2024-02-14
96,Alice,Thomas,Croix,Étudiant,2023-09-25
97,Jules,Bernard,Tourcoing,Famille,2023-04-22
98,Noah,Simon,Mons-en-Barœul,Senior,2024-03-22
99,Lucas,Lefebvre,Mons-en-Barœul,Famille,2024-08-13
100,Marc,Michel,Villeneuve-d'Ascq,Étudiant,2023-01-02
