commande_id,date_commande,canal_commande,mode_livraison,client_id,client_nom,client_email,client_type,client_ville,magasin_region,magasin_surface_m2,jeu_id,jeu_nom,fournisseur_nom,fournisseur_pays,fournisseur_contact,categorie_nom,sous_categorie_nom,age_minimum,prix_unitaire_catalogue,quantite,remise_pourcentage,prix_unitaire_apres_remise
CMD2006,2026-03-27,Email pro,Livraison magasin,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,18,15,16.91
CMD2007,2026-03-07,Téléphone,Retrait dépôt,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,18,10,28.8
CMD2008,2026-04-01,Application mobile,Domicile,C012,Omar Benali,omar.benali@example.com,Particulier,Marseille,,,J010,Les Aventuriers du Rail,Asmodee Distribution,France,pro@asmodee.fr,Famille,Placement,8,42.9,1,0,42.9
CMD2008,2026-04-01,Application mobile,Domicile,C012,Omar Benali,omar.benali@example.com,Particulier,Marseille,,,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,3,5,52.15
CMD2009,2026-03-19,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,2,0,29.9
CMD2010,2026-04-04,Email pro,Retrait dépôt,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J003,Codenames,Iello Distribution,France,commercial@iello.fr,Ambiance,Déduction,12,22.5,10,15,19.12
CMD2011,2026-02-03,Site web,Domicile,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J008,Cascadia,Lucky Duck Distribution,France,contact@luckyduck.fr,Placement,Tuiles,10,36.9,2,5,35.05
CMD2012,2026-03-08,Site web,Livraison magasin,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J011,Ark Nova,Blackrock Games,France,pro@blackrockgames.fr,Expert,Construction de moteur,14,69.9,13,10,62.91
CMD2012,2026-03-08,Site web,Livraison magasin,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,12,15,25.41
CMD2013,2026-02-13,Site web,Point relais,C012,Omar Benali,omar.benali@example.com,Particulier,Marseille,,,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,1,5,28.4
CMD2014,2026-03-15,Application mobile,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J008,Cascadia,Lucky Duck Distribution,France,contact@luckyduck.fr,Placement,Tuiles,10,36.9,2,0,36.9
CMD2014,2026-03-15,Application mobile,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,3,0,19.9
CMD2015,2026-02-10,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J014,Just One,Repos Production Distribution,Belgique,pro@rprod.com,Ambiance,Party game,8,21.9,3,0,21.9
CMD2015,2026-02-10,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J011,Ark Nova,Blackrock Games,France,pro@blackrockgames.fr,Expert,Construction de moteur,14,69.9,3,5,66.41
CMD2015,2026-02-10,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J003,Codenames,Iello Distribution,France,commercial@iello.fr,Ambiance,Déduction,12,22.5,3,5,21.38
CMD2015,2026-02-10,Site web,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,1,5,30.4
CMD2016,2026-03-21,Application mobile,Domicile,C007,David Moreau,david.moreau@example.com,Particulier,Amiens,,,J009,Skyjo,Blackrock Games,France,pro@blackrockgames.fr,Cartes,Collection,8,15.9,3,0,15.9
CMD2017,2026-03-23,Site web,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,3,0,19.9
CMD2017,2026-03-23,Site web,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J012,Harmonies,Asmodee Distribution,France,pro@asmodee.fr,Placement,Tuiles,10,34.9,2,5,33.15
CMD2018,2026-03-31,Site web,Domicile,C012,Omar Benali,omar.benali@example.com,Particulier,Marseille,,,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,3,5,28.4
CMD2018,2026-03-31,Site web,Domicile,C012,Omar Benali,omar.benali@example.com,Particulier,Marseille,,,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,3,0,54.9
CMD2019,2026-04-07,Email pro,Retrait dépôt,C006,Plateau Nord,achats@plateaunord.fr,Magasin,Lille,Hauts-de-France,140,J009,Skyjo,Blackrock Games,France,pro@blackrockgames.fr,Cartes,Collection,8,15.9,7,20,12.72
CMD2020,2026-02-13,Site web,Retrait dépôt,C006,Plateau Nord,achats@plateaunord.fr,Magasin,Lille,Hauts-de-France,140,J009,Skyjo,Blackrock Games,France,pro@blackrockgames.fr,Cartes,Collection,8,15.9,8,15,13.52
CMD2020,2026-02-13,Site web,Retrait dépôt,C006,Plateau Nord,achats@plateaunord.fr,Magasin,Lille,Hauts-de-France,140,J004,Azul,Asmodee Distribution,France,pro@asmodee.fr,Abstrait,Placement,8,39.9,4,20,31.92
CMD2021,2026-02-27,Site web,Point relais,C002,Bruno Leroy,bruno.leroy@example.com,Particulier,Arras,,,J004,Azul,Asmodee Distribution,France,pro@asmodee.fr,Abstrait,Placement,8,39.9,3,0,39.9
CMD2021,2026-02-27,Site web,Point relais,C002,Bruno Leroy,bruno.leroy@example.com,Particulier,Arras,,,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,1,5,52.15
CMD2021,2026-02-27,Site web,Point relais,C002,Bruno Leroy,bruno.leroy@example.com,Particulier,Arras,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,1,5,18.9
CMD2022,2026-04-11,Email pro,Livraison magasin,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,16,15,46.66
CMD2023,2026-03-24,Application mobile,Point relais,C008,Sophie Petit,sophie.petit@example.com,Particulier,Paris,,,J005,Terraforming Mars,Novalis Distribution,Canada,sales@novalis.ca,Expert,Gestion de ressources,12,59.9,2,0,59.9
CMD2024,2026-02-18,Email pro,Retrait dépôt,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J011,Ark Nova,Blackrock Games,France,pro@blackrockgames.fr,Expert,Construction de moteur,14,69.9,9,20,55.92
CMD2024,2026-02-18,Email pro,Retrait dépôt,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,13,10,17.91
CMD2024,2026-02-18,Email pro,Retrait dépôt,C009,Jeux & Stratagèmes,stock@jeux-stratagemes.fr,Magasin,Bordeaux,Nouvelle-Aquitaine,210,J010,Les Aventuriers du Rail,Asmodee Distribution,France,pro@asmodee.fr,Famille,Placement,8,42.9,15,10,38.61
CMD2025,2026-04-01,Téléphone,Retrait dépôt,C006,Plateau Nord,achats@plateaunord.fr,Magasin,Lille,Hauts-de-France,140,J011,Ark Nova,Blackrock Games,France,pro@blackrockgames.fr,Expert,Construction de moteur,14,69.9,7,15,59.42
CMD2025,2026-04-01,Téléphone,Retrait dépôt,C006,Plateau Nord,achats@plateaunord.fr,Magasin,Lille,Hauts-de-France,140,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,9,10,26.91
CMD2026,2026-03-22,Application mobile,Point relais,C003,Claire Dubois,claire.dubois@example.com,Particulier,Roubaix,,,J014,Just One,Repos Production Distribution,Belgique,pro@rprod.com,Ambiance,Party game,8,21.9,3,5,20.8
CMD2027,2026-04-14,Application mobile,Domicile,C003,Claire Dubois,claire.dubois@example.com,Particulier,Roubaix,,,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,2,5,30.4
CMD2027,2026-04-14,Application mobile,Domicile,C003,Claire Dubois,claire.dubois@example.com,Particulier,Roubaix,,,J002,7 Wonders,Asmodee Distribution,France,pro@asmodee.fr,Stratégie,Draft,10,44.9,1,5,42.65
CMD2028,2026-04-18,Application mobile,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J005,Terraforming Mars,Novalis Distribution,Canada,sales@novalis.ca,Expert,Gestion de ressources,12,59.9,1,5,56.9
CMD2028,2026-04-18,Application mobile,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J002,7 Wonders,Asmodee Distribution,France,pro@asmodee.fr,Stratégie,Draft,10,44.9,2,5,42.65
CMD2029,2026-04-16,Application mobile,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J004,Azul,Asmodee Distribution,France,pro@asmodee.fr,Abstrait,Placement,8,39.9,2,0,39.9
CMD2029,2026-04-16,Application mobile,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J012,Harmonies,Asmodee Distribution,France,pro@asmodee.fr,Placement,Tuiles,10,34.9,1,0,34.9
CMD2030,2026-03-28,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J008,Cascadia,Lucky Duck Distribution,France,contact@luckyduck.fr,Placement,Tuiles,10,36.9,3,0,36.9
CMD2030,2026-03-28,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J012,Harmonies,Asmodee Distribution,France,pro@asmodee.fr,Placement,Tuiles,10,34.9,2,5,33.15
CMD2030,2026-03-28,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J003,Codenames,Iello Distribution,France,commercial@iello.fr,Ambiance,Déduction,12,22.5,1,0,22.5
CMD2030,2026-03-28,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J014,Just One,Repos Production Distribution,Belgique,pro@rprod.com,Ambiance,Party game,8,21.9,2,5,20.8
CMD2031,2026-04-17,Application mobile,Domicile,C012,Omar Benali,omar.benali@example.com,Particulier,Marseille,,,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,3,0,32.0
CMD2032,2026-03-10,Téléphone,Retrait dépôt,C005,La Tanière du Jeu,commande@tanierejeu.fr,Magasin,Nantes,Pays de la Loire,95,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,4,20,23.92
CMD2033,2026-04-06,Site web,Domicile,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J003,Codenames,Iello Distribution,France,commercial@iello.fr,Ambiance,Déduction,12,22.5,2,5,21.38
CMD2033,2026-04-06,Site web,Domicile,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J004,Azul,Asmodee Distribution,France,pro@asmodee.fr,Abstrait,Placement,8,39.9,2,0,39.9
CMD2033,2026-04-06,Site web,Domicile,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,2,0,19.9
CMD2033,2026-04-06,Site web,Domicile,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J005,Terraforming Mars,Novalis Distribution,Canada,sales@novalis.ca,Expert,Gestion de ressources,12,59.9,1,5,56.9
CMD2034,2026-04-12,Site web,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J005,Terraforming Mars,Novalis Distribution,Canada,sales@novalis.ca,Expert,Gestion de ressources,12,59.9,2,5,56.9
CMD2034,2026-04-12,Site web,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J013,Wingspan,Matagot Distribution,France,distribution@matagot.com,Expert,Collection,10,54.9,1,0,54.9
CMD2034,2026-04-12,Site web,Point relais,C010,Nadia Caron,nadia.caron@example.com,Particulier,Tourcoing,,,J004,Azul,Asmodee Distribution,France,pro@asmodee.fr,Abstrait,Placement,8,39.9,3,5,37.9
CMD2035,2026-03-29,Site web,Livraison magasin,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J006,Unlock!,Asmodee Distribution,France,pro@asmodee.fr,Coopératif,Escape game,10,32.0,18,10,28.8
CMD2035,2026-03-29,Site web,Livraison magasin,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J003,Codenames,Iello Distribution,France,commercial@iello.fr,Ambiance,Déduction,12,22.5,7,10,20.25
CMD2035,2026-03-29,Site web,Livraison magasin,C011,Le Dé Chanceux,contact@dechanceux.fr,Magasin,Rennes,Bretagne,120,J008,Cascadia,Lucky Duck Distribution,France,contact@luckyduck.fr,Placement,Tuiles,10,36.9,7,10,33.21
CMD2036,2026-03-25,Application mobile,Point relais,C002,Bruno Leroy,bruno.leroy@example.com,Particulier,Arras,,,J001,Kingdomino,Blue Orange Distribution,France,contact@blueorange.fr,Famille,Tuiles,8,19.9,3,0,19.9
CMD2037,2026-03-05,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J014,Just One,Repos Production Distribution,Belgique,pro@rprod.com,Ambiance,Party game,8,21.9,1,5,20.8
CMD2037,2026-03-05,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,3,5,28.4
CMD2037,2026-03-05,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J012,Harmonies,Asmodee Distribution,France,pro@asmodee.fr,Placement,Tuiles,10,34.9,1,0,34.9
CMD2037,2026-03-05,Site web,Point relais,C001,Alice Martin,alice.martin@example.com,Particulier,Lille,,,J005,Terraforming Mars,Novalis Distribution,Canada,sales@novalis.ca,Expert,Gestion de ressources,12,59.9,3,5,56.9
CMD2038,2026-04-02,Site web,Point relais,C003,Claire Dubois,claire.dubois@example.com,Particulier,Roubaix,,,J007,Dixit,Asmodee Distribution,France,pro@asmodee.fr,Famille,Créativité,8,29.9,2,0,29.9
